銘柄コード,銘柄名,業種
1332,ニッスイ,水産・農林業
1414,ショーボンドホールディングス,建設業
1419,タマホーム,建設業
1518,三井松島ホールディングス,鉱業
1605,INPEX,鉱業
1662,石油資源開発,鉱業
1719,安藤・間,建設業
1721,コムシスホールディングス,建設業
1801,大成建設,建設業
1802,大林組,建設業
1808,長谷工コーポレーション,建設業
1812,鹿島建設,建設業
1878,大東建託,不動産業
1911,住友林業,建設業
1925,大和ハウス工業,建設業
1928,積水ハウス,建設業
1942,関電工,建設業
1951,エクシオグループ,建設業
1959,九電工,建設業
1969,高砂熱学工業,建設業
1973,ＮＥＣネッツエスアイ,情報・通信業
2124,ジェイエイシーリクルートメント,サービス業
2127,日本Ｍ＆Ａセンターホールディングス,サービス業
2146,UTグループ,サービス業
2168,パソナグループ,サービス業
2175,エス・エム・エス,サービス業
2181,パーソルホールディングス,サービス業
2201,森永製菓,食料品
2222,寿スピリッツ,食料品
2229,カルビー,食料品
2264,森永乳業,食料品
2267,ヤクルト本社,食料品
2269,明治ホールディングス,食料品
2282,日本ハム,食料品
2317,システナ,情報・通信業
2327,日鉄ソリューションズ,情報・通信業
2331,綜合警備保障,サービス業
2371,カカクコム,サービス業
2379,ディップ,サービス業
2384,ＳＢＳホールディングス,陸運業
2413,エムスリー,サービス業
2433,博報堂DYホールディングス,サービス業
2502,アサヒグループホールディングス,食料品
2503,キリンホールディングス,食料品
2531,宝ホールディングス,食料品
2587,サントリー食品インターナショナル,食料品
2670,エービーシー・マート,小売業
2678,アスクル,小売業
2685,アダストリア,小売業
2702,日本マクドナルドホールディングス,小売業
2726,パルグループホールディングス,小売業
2760,東京エレクトロン デバイス,卸売業
2768,双日,卸売業
2782,セリア,小売業
2801,キッコーマン,食料品
2802,味の素,食料品
2871,ニチレイ,食料品
2875,東洋水産,食料品
2897,日清食品ホールディングス,食料品
2914,日本たばこ産業,食料品
3003,ヒューリック,不動産業
3038,神戸物産,卸売業
3064,MonotaRO,小売業
3088,マツキヨココカラ＆カンパニー,小売業
3092,ZOZO,小売業
3107,ダイワボウホールディングス,卸売業
3116,トヨタ紡織,輸送用機器
3132,マクニカホールディングス,卸売業
3141,ウエルシアホールディングス,小売業
3148,クリエイトSDホールディングス,小売業
3186,ネクステージ,小売業
3231,野村不動産ホールディングス,不動産業
3288,オープンハウスグループ,不動産業
3289,東急不動産ホールディングス,不動産業
3291,飯田グループホールディングス,不動産業
3349,コスモス薬品,小売業
3360,シップヘルスケアホールディングス,卸売業
3382,セブン＆アイ・ホールディングス,小売業
3391,ツルハホールディングス,小売業
3402,東レ,繊維製品
3405,クラレ,化学
3436,SUMCO,金属製品
3465,ケイアイスター不動産,不動産業
3549,クスリのアオキホールディングス,小売業
3563,FOOD & LIFE COMPANIES,小売業
3626,TIS,情報・通信業
3635,コーエーテクモホールディングス,情報・通信業
3659,ネクソン,情報・通信業
3697,SHIFT,情報・通信業
3765,ガンホー・オンライン・エンターテイメント,情報・通信業
3769,GMOペイメントゲートウェイ,情報・通信業
3774,インターネットイニシアティブ,情報・通信業
3861,王子ホールディングス,パルプ・紙
3923,ラクス,情報・通信業
4021,日産化学,化学
4042,東ソー,化学
4062,イビデン,電気機器
4063,信越化学工業,化学
